XPT,YPT,ZPT,AU_G_T,use,DIST_C
25.0,4.5,4.5,3.60480714,0,94.237
25.0,7.5,4.5,2.51503897,0,92.415
25.0,10.5,4.5,2.15338278,0,89.646
25.0,13.5,4.5,0.42348152,0,86.893
25.0,16.5,4.5,0.7082389,0,84.156
25.0,19.5,4.5,0.36183029,0,81.438
25.0,22.5,4.5,0.74221534,0,78.74
25.0,25.5,4.5,0.41206241,0,76.065
25.0,28.5,4.5,0.70818734,0,73.415
25.0,31.5,4.5,2.03225279,0,70.793
25.0,34.5,4.5,2.13208723,0,68.203
25.0,37.5,4.5,0.40639025,0,65.647
25.0,40.5,4.5,1.54763436,0,63.13
25.0,43.5,4.5,0.49584413,0,60.657
25.0,46.5,4.5,1.85129714,0,58.233
25.0,49.5,4.5,1.85256279,0,55.866
25.0,52.5,4.5,1.30917978,0,53.562
25.0,55.5,4.5,0.67510033,0,51.33
25.0,58.5,4.5,0.89670968,0,49.18
25.0,61.5,4.5,1.64434469,0,47.123
25.0,64.5,4.5,2.15205812,0,45.171
25.0,67.5,4.5,0.36142519,0,43.34
25.0,70.5,4.5,0.74135178,0,41.644
25.0,73.5,4.5,0.86803603,0,40.101
25.0,76.5,4.5,1.21877265,0,38.73
25.0,79.5,4.5,2.56948042,0,37.548
25.0,82.5,4.5,2.46024179,0,36.575
25.0,85.5,4.5,2.06171727,0,35.828
25.0,88.5,4.5,2.33349204,0,35.32
25.0,91.5,4.5,2.32145166,0,35.063
25.0,94.5,4.5,3.17142558,0,35.061
25.0,97.5,4.5,0.85724443,0,35.316
25.0,100.5,4.5,0.46475098,0,35.82
25.0,103.5,4.5,1.42528915,0,36.565
25.0,106.5,4.5,1.50609207,0,37.535
25.0,109.5,4.5,1.5716995,0,38.714
25.0,112.5,4.5,2.16631699,0,40.083
25.0,115.5,4.5,1.7383976,0,38.489
25.0,118.5,4.5,2.41854668,0,36.882
25.0,121.5,4.5,1.0219636,0,35.457
25.0,124.5,4.5,1.2316165,0,34.237
25.0,127.5,4.5,0.86984044,0,33.243
25.0,130.5,4.5,1.5744592,0,32.496
25.0,133.5,4.5,1.57708049,0,32.014
25.0,136.5,4.5,1.62441111,0,31.809
25.0,139.5,4.5,1.96789408,0,31.887
25.0,142.5,4.5,0.80864036,0,32.244
25.0,145.5,4.5,0.63318652,0,32.873
25.0,148.5,4.5,2.87853003,0,33.757
25.0,151.5,4.5,2.05010605,0,34.878
25.0,154.5,4.5,2.6810813,0,36.213
25.0,157.5,4.5,2.33165264,0,37.74
25.0,160.5,4.5,1.8525871,0,39.436
25.0,163.5,4.5,2.08558106,0,41.281
25.0,166.5,4.5,1.95227301,0,43.256
25.0,169.5,4.5,1.63353205,0,45.343
25.0,172.5,4.5,1.64439821,0,47.528
25.0,175.5,4.5,1.89155555,0,49.798
25.0,178.5,4.5,0.40918168,0,52.142
25.0,181.5,4.5,1.26359451,0,54.55
25.0,184.5,4.5,0.22013575,0,57.014
25.0,187.5,4.5,0.2667608,0,59.528
25.0,190.5,4.5,0.40931818,0,62.084
25.0,193.5,4.5,0.89418501,0,64.679
25.0,196.5,4.5,0.46237394,0,64.872
25.0,199.5,4.5,1.61484432,0,62.201
25.0,202.5,4.5,1.49420977,0,59.561
25.0,205.5,4.5,1.99976659,0,56.957
25.0,208.5,4.5,2.15996337,0,54.394
25.0,211.5,4.5,2.24932599,0,51.878
25.0,214.5,4.5,3.24012208,0,49.415
25.0,217.5,4.5,1.7790271,0,47.015
25.0,220.5,4.5,3.05106235,0,44.688
25.0,223.5,4.5,2.52415729,0,42.445
25.0,226.5,4.5,2.71783018,0,40.301
25.0,229.5,4.5,1.2295233,0,38.272
25.0,232.5,4.5,2.15408206,0,36.377
25.0,235.5,4.5,1.21521354,0,34.64
25.0,238.5,4.5,2.0026195,0,33.083
25.0,241.5,4.5,1.64310467,0,31.734
25.0,244.5,4.5,2.15275216,0,30.621
25.0,247.5,4.5,1.21518636,0,29.769
25.0,250.5,4.5,1.43922651,0,29.203
25.0,253.5,4.5,0.74028754,0,28.937
25.0,256.5,4.5,1.59029937,0,28.982
25.0,259.5,4.5,1.90790117,0,29.335
25.0,262.5,4.5,1.70867825,0,28.456
25.0,265.5,4.5,1.08738196,0,25.498
25.0,268.5,4.5,0.80865967,0,22.551
25.0,271.5,4.5,0.85501689,0,19.621
25.0,274.5,4.5,1.63524711,0,16.715
25.0,277.5,4.5,0.84414721,0,13.849
25.0,280.5,4.5,0.92642856,0,11.055
25.0,283.5,4.5,0.83061707,0,8.4042
25.0,286.5,4.5,1.85067987,0,6.0863
25.0,289.5,4.5,1.50720978,0,4.632
25.0,292.5,4.5,2.00597525,0,4.8855
25.0,295.5,4.5,2.0075562,0,6.6543
25.0,298.5,4.5,1.85061812,0,9.0935
25.0,301.5,4.5,1.67843926,0,11.794
25.0,304.5,4.5,2.37140274,0,14.612
25.0,307.5,4.5,1.08722174,0,17.491
25.0,310.5,4.5,0.80381685,0,20.404
25.0,313.5,4.5,0.66584659,0,23.34
25.0,316.5,4.5,0.49501935,0,26.29
25.0,319.5,4.5,0.53760934,0,29.25
25.0,322.5,4.5,3.08308911,0,32.218
25.0,325.5,4.5,1.27302372,0,35.191
25.0,328.5,4.5,2.4708519,0,38.168
25.0,331.5,4.5,1.68740785,0,41.149
25.0,334.5,4.5,1.52502918,0,44.132
25.0,337.5,4.5,0.49476334,0,47.117
25.0,340.5,4.5,1.52908957,0,50.105
25.0,343.5,4.5,0.91593248,0,53.093
25.0,346.5,4.5,1.68186045,0,56.083
25.0,349.5,4.5,2.05501056,0,59.074
25.0,352.5,4.5,2.00817537,0,62.065
25.0,355.5,4.5,2.7063148,0,65.058
25.0,358.5,4.5,2.18731332,0,68.051
25.0,361.5,4.5,0.45047474,0,71.045
25.0,364.5,4.5,0.40432596,0,74.039
25.0,367.5,4.5,0.6832602,0,72.659
25.0,370.5,4.5,0.87028295,0,69.952
25.0,373.5,4.5,0.22394001,0,67.269
25.0,376.5,4.5,0.36559677,0,64.614
25.0,379.5,4.5,0.91930676,0,61.99
25.0,382.5,4.5,2.69324017,0,59.403
25.0,385.5,4.5,2.89336514,0,56.855
25.0,388.5,4.5,2.00081801,0,54.354
25.0,391.5,4.5,3.00330758,0,51.906
25.0,394.5,4.5,4.20360756,0,49.519
25.0,397.5,4.5,2.77869415,0,47.201
25.0,400.5,4.5,3.60293818,0,44.965
25.0,403.5,4.5,2.59457302,0,42.822
25.0,406.5,4.5,2.65131164,0,40.787
25.0,409.5,4.5,2.11993098,0,38.877
25.0,412.5,4.5,3.59637332,0,37.112
25.0,415.5,4.5,1.56776357,0,35.513
25.0,418.5,4.5,1.85059249,0,34.103
25.0,421.5,4.5,2.08342409,0,32.907
25.0,424.5,4.5,2.31647491,0,31.949
25.0,427.5,4.5,0.86592847,0,31.25
25.0,430.5,4.5,2.00641894,0,30.829
25.0,433.5,4.5,3.60405326,0,30.697
25.0,436.5,4.5,3.07462406,0,30.857
25.0,439.5,4.5,3.34181547,0,31.305
25.0,442.5,4.5,1.75155807,0,32.029
25.0,445.5,4.5,1.69515228,0,33.011
25.0,448.5,4.5,0.86733329,0,34.229
25.0,451.5,4.5,2.33991408,0,35.658
25.0,454.5,4.5,1.58462679,0,37.274
25.0,457.5,4.5,3.31238556,0,34.687
25.0,460.5,4.5,1.64276063,0,31.718
25.0,463.5,4.5,2.54786062,0,28.755
25.0,466.5,4.5,1.63680041,0,25.8
25.0,469.5,4.5,2.43703103,0,22.858
25.0,472.5,4.5,2.14386511,0,19.932
25.0,475.5,4.5,2.74404621,0,17.033
25.0,478.5,4.5,3.6456697,0,14.176
25.0,481.5,4.5,2.51169181,0,11.392
25.0,484.5,4.5,2.70766735,0,8.752
25.0,487.5,4.5,2.07833791,0,6.4358
25.0,490.5,4.5,2.15872574,0,4.9237
25.0,493.5,4.5,1.5720799,0,5.0066
25.0,496.5,4.5,0.86691445,0,6.6249
25.0,499.5,4.5,1.63955867,0,8.984
25.0,502.5,4.5,1.58973837,0,11.642
25.0,505.5,4.5,2.11902499,0,14.435
25.0,508.5,4.5,1.30459452,0,17.297
25.0,511.5,4.5,1.46319318,0,20.199
25.0,514.5,4.5,2.31647754,0,23.126
25.0,517.5,4.5,4.4476614,0,26.07
25.0,520.5,4.5,1.01177418,0,29.025
25.0,523.5,4.5,1.00737166,0,31.989
25.0,526.5,4.5,1.57444584,0,34.959
25.0,529.5,4.5,1.37012851,0,37.933
25.0,532.5,4.5,0.84998608,0,40.912
25.0,535.5,4.5,0.90054977,0,43.893
25.0,538.5,4.5,1.56355762,0,46.877
25.0,541.5,4.5,2.31694484,0,49.862
25.0,544.5,4.5,0.38742757,0,51.264
25.0,547.5,4.5,0.22132739,0,48.612
25.0,550.5,4.5,0.41006991,0,46.002
25.0,553.5,4.5,0.40693894,0,43.443
25.0,556.5,4.5,0.30375186,0,40.944
25.0,559.5,4.5,0.19400913,0,38.516
25.0,562.5,4.5,0.69940805,0,36.175
25.0,565.5,4.5,0.606947,0,33.937
25.0,568.5,4.5,0.99223346,0,31.824
25.0,571.5,4.5,0.80742991,0,29.865
25.0,574.5,4.5,0.67359167,0,28.089
25.0,577.5,4.5,0.99589258,0,26.535
25.0,580.5,4.5,1.2892803,0,25.242
25.0,583.5,4.5,1.5939362,0,24.254
25.0,586.5,4.5,2.3168807,0,23.609
25.0,589.5,4.5,3.15414166,0,23.334
25.0,592.5,4.5,1.9999094,0,23.443
25.0,595.5,4.5,2.70704293,0,23.931
25.0,598.5,4.5,0.89187467,0,24.774
25.0,601.5,4.5,4.00515842,0,25.94
25.0,604.5,4.5,3.60623622,0,27.385
25.0,607.5,4.5,3.12740374,0,29.07
25.0,610.5,4.5,2.50769138,0,30.954
25.0,613.5,4.5,3.16849971,0,33.004
25.0,616.5,4.5,2.06066418,0,35.19
25.0,619.5,4.5,3.12406206,0,37.489
25.0,622.5,4.5,2.68384171,0,39.882
25.0,625.5,4.5,2.37162971,0,42.351
25.0,628.5,4.5,2.70360875,0,44.886
25.0,631.5,4.5,3.51320267,0,47.475
25.0,634.5,4.5,3.6094141,0,47.981
25.0,637.5,4.5,2.41499853,0,44.991
25.0,640.5,4.5,2.59078455,0,42.002
25.0,643.5,4.5,3.60721374,0,39.014
25.0,646.5,4.5,3.5916667,0,36.029
25.0,649.5,4.5,3.64966106,0,33.047
25.0,652.5,4.5,2.30599189,0,30.068
25.0,655.5,4.5,0.84815216,0,27.093
